set_id,Region,Sales_Channel,Units_Sold,Discount_%
8683-4,USA,Online,10313,10
8683-4,USA,Retail,10516,10
8683-4,Europe,Online,32763,20
8683-4,Europe,Retail,45017,15
8683-4,Asia-Pacific,Online,35994,10
8683-4,Asia-Pacific,Retail,25610,10
8683-4,Australia,Online,13914,5
8683-4,Australia,Retail,26228,10
40014-1,USA,Online,35036,5
40014-1,USA,Retail,44907,5
40014-1,Europe,Online,40086,10
40014-1,Europe,Retail,20123,20
40014-1,Asia-Pacific,Online,38424,10
40014-1,Asia-Pacific,Retail,33574,10
40014-1,Australia,Online,16502,5
40014-1,Australia,Retail,43019,15
40013-1,USA,Online,11620,5
40013-1,USA,Retail,12878,15
40013-1,Europe,Online,17560,20
40013-1,Europe,Retail,46592,20
40013-1,Asia-Pacific,Online,21145,5
40013-1,Asia-Pacific,Retail,28456,10
40013-1,Australia,Online,48369,15
40013-1,Australia,Retail,14027,10
40012-1,USA,Online,36307,10
40012-1,USA,Retail,21243,5
40012-1,Europe,Online,10559,10
40012-1,Europe,Retail,26482,15
40012-1,Asia-Pacific,Online,35639,5
40012-1,Asia-Pacific,Retail,31038,10
40012-1,Australia,Online,21280,15
40012-1,Australia,Retail,27882,10
8684-16,USA,Online,36951,5
8684-16,USA,Retail,42621,5
8684-16,Europe,Online,27908,20
8684-16,Europe,Retail,35146,20
8684-16,Asia-Pacific,Online,21726,10
8684-16,Asia-Pacific,Retail,34360,10
8684-16,Australia,Online,29364,15
8684-16,Australia,Retail,36011,5
8684-15,USA,Online,42426,5
8684-15,USA,Retail,17382,15
8684-15,Europe,Online,32904,20
8684-15,Europe,Retail,29369,15
8684-15,Asia-Pacific,Online,40710,10
8684-15,Asia-Pacific,Retail,39049,10
8684-15,Australia,Online,11626,10
8684-15,Australia,Retail,23278,5
8683-2,USA,Online,17971,5
8683-2,USA,Retail,17495,15
8683-2,Europe,Online,30421,10
8683-2,Europe,Retail,16701,20
8683-2,Asia-Pacific,Online,22328,10
8683-2,Asia-Pacific,Retail,15755,10
8683-2,Australia,Online,19135,15
8683-2,Australia,Retail,14973,5
8684-14,USA,Online,18152,10
8684-14,USA,Retail,40787,5
8684-14,Europe,Online,18419,20
8684-14,Europe,Retail,35715,10
8684-14,Asia-Pacific,Online,15955,10
8684-14,Asia-Pacific,Retail,45113,5
8684-14,Australia,Online,41624,10
8684-14,Australia,Retail,12058,15
8684-13,USA,Online,37905,10
8684-13,USA,Retail,35659,5
8684-13,Europe,Online,20502,15
8684-13,Europe,Retail,33531,20
8684-13,Asia-Pacific,Online,15208,5
8684-13,Asia-Pacific,Retail,13074,10
8684-13,Australia,Online,30203,10
8684-13,Australia,Retail,33900,10
8684-12,USA,Online,14728,5
8684-12,USA,Retail,20609,10
8684-12,Europe,Online,33941,15
8684-12,Europe,Retail,21404,20
8684-12,Asia-Pacific,Online,26466,5
8684-12,Asia-Pacific,Retail,19075,5
8684-12,Australia,Online,22786,5
8684-12,Australia,Retail,28736,10
8683-3,USA,Online,18139,15
8683-3,USA,Retail,48315,5
8683-3,Europe,Online,35964,10
8683-3,Europe,Retail,36407,10
8683-3,Asia-Pacific,Online,18623,10
8683-3,Asia-Pacific,Retail,48153,10
8683-3,Australia,Online,14131,10
8683-3,Australia,Retail,20447,5
8684-11,USA,Online,47049,15
8684-11,USA,Retail,40429,5
8684-11,Europe,Online,31320,15
8684-11,Europe,Retail,19850,10
8684-11,Asia-Pacific,Online,17229,10
8684-11,Asia-Pacific,Retail,29102,10
8684-11,Australia,Online,32498,10
8684-11,Australia,Retail,45487,5
8684-10,USA,Online,43163,15
8684-10,USA,Retail,30695,5
8684-10,Europe,Online,12781,10
8684-10,Europe,Retail,48847,15
8684-10,Asia-Pacific,Online,45053,5
8684-10,Asia-Pacific,Retail,20431,10
8684-10,Australia,Online,36446,10
8684-10,Australia,Retail,20792,15
8684-9,USA,Online,37039,5
8684-9,USA,Retail,32883,5
8684-9,Europe,Online,38064,15
8684-9,Europe,Retail,19991,15
8684-9,Asia-Pacific,Online,33905,10
8684-9,Asia-Pacific,Retail,11135,5
8684-9,Australia,Online,41804,5
8684-9,Australia,Retail,18895,15
8684-8,USA,Online,27604,5
8684-8,USA,Retail,32068,10
8684-8,Europe,Online,36712,20
8684-8,Europe,Retail,23442,15
8684-8,Asia-Pacific,Online,46350,5
8684-8,Asia-Pacific,Retail,30238,10
8684-8,Australia,Online,26914,5
8684-8,Australia,Retail,17930,10
8684-7,USA,Online,25179,15
8684-7,USA,Retail,37831,10
8684-7,Europe,Online,10141,20
8684-7,Europe,Retail,38466,20
8684-7,Asia-Pacific,Online,37581,5
8684-7,Asia-Pacific,Retail,32997,10
8684-7,Australia,Online,34779,5
8684-7,Australia,Retail,32036,5
8684-6,USA,Online,14760,15
8684-6,USA,Retail,29685,10
8684-6,Europe,Online,20384,15
8684-6,Europe,Retail,45946,20
8684-6,Asia-Pacific,Online,11017,5
8684-6,Asia-Pacific,Retail,32869,5
8684-6,Australia,Online,48804,10
8684-6,Australia,Retail,44363,5
8684-5,USA,Online,26727,5
8684-5,USA,Retail,26353,15
8684-5,Europe,Online,30443,15
8684-5,Europe,Retail,17146,20
8684-5,Asia-Pacific,Online,10046,5
8684-5,Asia-Pacific,Retail,25969,10
8684-5,Australia,Online,32341,5
8684-5,Australia,Retail,39222,15
8684-4,USA,Online,39371,10
8684-4,USA,Retail,34422,5
8684-4,Europe,Online,44122,20
8684-4,Europe,Retail,12132,20
8684-4,Asia-Pacific,Online,31226,10
8684-4,Asia-Pacific,Retail,42060,5
8684-4,Australia,Online,12999,15
8684-4,Australia,Retail,49333,5
8684-3,USA,Online,15225,5
8684-3,USA,Retail,48351,5
8684-3,Europe,Online,32852,20
8684-3,Europe,Retail,38108,10
8684-3,Asia-Pacific,Online,46692,5
8684-3,Asia-Pacific,Retail,47153,5
8684-3,Australia,Online,27690,5
8684-3,Australia,Retail,29319,10
8684-2,USA,Online,29219,5
8684-2,USA,Retail,13718,10
8684-2,Europe,Online,24490,20
8684-2,Europe,Retail,45537,10
8684-2,Asia-Pacific,Online,25195,10
8684-2,Asia-Pacific,Retail,46317,10
8684-2,Australia,Online,34515,10
8684-2,Australia,Retail,32345,10
8684-1,USA,Online,14383,15
8684-1,USA,Retail,36267,5
8684-1,Europe,Online,42730,15
8684-1,Europe,Retail,19013,10
8684-1,Asia-Pacific,Online,22242,10
8684-1,Asia-Pacific,Retail,45668,5
8684-1,Australia,Online,11817,10
8684-1,Australia,Retail,27769,10
8683-16,USA,Online,49568,5
8683-16,USA,Retail,43176,15
8683-16,Europe,Online,35494,15
8683-16,Europe,Retail,21800,20
8683-16,Asia-Pacific,Online,21577,5
8683-16,Asia-Pacific,Retail,10517,10
8683-16,Australia,Online,36754,5
8683-16,Australia,Retail,43507,5
8683-15,USA,Online,36830,5
8683-15,USA,Retail,16773,10
8683-15,Europe,Online,10592,15
8683-15,Europe,Retail,27642,15
8683-15,Asia-Pacific,Online,14081,10
8683-15,Asia-Pacific,Retail,43781,10
8683-15,Australia,Online,12115,10
8683-15,Australia,Retail,19382,10
8683-14,USA,Online,40418,15
8683-14,USA,Retail,37425,5
8683-14,Europe,Online,24246,20
8683-14,Europe,Retail,18631,10
8683-14,Asia-Pacific,Online,33871,10
8683-14,Asia-Pacific,Retail,13095,5
8683-14,Australia,Online,23802,5
8683-14,Australia,Retail,34493,10
8683-13,USA,Online,41890,10
8683-13,USA,Retail,44867,10
8683-13,Europe,Online,25042,15
8683-13,Europe,Retail,36835,10
8683-13,Asia-Pacific,Online,20468,10
